"Story","Title","Result","Date","Stability","Duration (s)"
"Login de usuario","Login fallido por credenciales inválidas","PENDING","2025-09-02T14:49:18.2656399-05:00[America/Bogota]","0.0","9.19"
"Login de usuario","Usuario bloqueado","PENDING","2025-09-02T14:49:28.0259021-05:00[America/Bogota]","0.0","7.12"
