"Story","Title","Result","Date","Stability","Duration (s)"
"Login de usuario","Login de usuario exitoso","SUCCESS","2025-09-16T11:36:12.01797-05:00[America/Bogota]","0.0","42.44"
"Serialización de SIM","Flujo exitoso de serialización de SIM","ERROR","2025-09-16T11:36:56.3494134-05:00[America/Bogota]","0.0","30.73"
